Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Year
John Wall,PG,21,WAS,66,2386,17.7,.502,.047,.450,2.2,12.0,7.1,36.9,2.1,1.8,19.2,24.9,1.7,1.9,3.5,.071,1.3,-0.6,0.7,1.6,2012
Russell Westbrook,PG,23,OKC,66,2331,22.9,.538,.155,.326,5.0,9.4,7.4,29.8,2.5,0.7,14.2,32.7,5.5,2.4,7.9,.163,3.7,-0.7,3.0,3.0,2012
Deron Williams,PG,27,NJN,55,1999,20.3,.527,.356,.317,1.3,9.6,5.3,46.6,1.8,0.8,16.7,30.1,3.7,0.4,4.1,.099,4.2,-1.9,2.3,2.2,2012
LaMarcus Aldridge,PF,27,POR,74,2790,20.4,.530,.011,.264,7.2,20.9,14.0,13.0,1.2,2.5,8.9,26.5,4.8,2.3,7.2,.124,1.7,-0.4,1.3,2.3,2013
Bradley Beal,SG,19,WAS,56,1745,13.6,.515,.344,.231,2.7,10.8,6.7,13.7,1.5,1.3,10.6,22.2,1.0,2.0,3.0,.082,0.0,0.2,0.2,1.0,2013
Jimmy Butler,SF,23,CHI,82,2134,15.2,.574,.205,.455,7.2,10.4,8.8,8.6,2.0,1.1,9.2,14.6,4.4,2.6,7.0,.158,1.0,1.0,2.0,2.1,2013
Stephen Curry,PG,24,GSW,78,2983,21.3,.589,.432,.210,2.3,9.1,5.8,31.1,2.1,0.3,13.7,26.4,8.4,2.8,11.2,.180,5.3,0.1,5.4,5.6,2013
Anthony Davis,PF,19,NOH,64,1846,21.7,.559,.009,.333,10.5,23.5,16.8,6.1,2.2,5.1,10.3,21.8,3.7,2.4,6.1,.159,1.8,0.7,2.5,2.1,2013
DeMar DeRozan,SG,23,TOR,82,3013,14.7,.523,.097,.347,1.9,10.9,6.3,12.0,1.3,0.6,9.6,24.2,3.1,1.6,4.7,.075,-0.2,-1.2,-1.4,0.4,2013
Goran Dragic,PG,26,PHO,77,2581,17.5,.540,.305,.360,2.6,8.0,5.2,35.7,2.5,0.8,16.8,21.7,4.1,1.6,5.7,.106,1.7,-0.3,1.4,2.2,2013
Kevin Durant,SF,24,OKC,81,3119,28.3,.647,.233,.523,1.8,20.3,11.8,21.7,1.9,2.6,13.7,29.8,13.6,5.3,18.9,.291,7.6,1.7,9.3,8.9,2013
Marc Gasol,C,28,MEM,80,2796,19.5,.559,.016,.364,7.6,18.9,13.1,19.1,1.6,4.1,13.5,19.2,6.1,5.4,11.5,.197,2.1,3.1,5.2,5.1,2013
Pau Gasol,PF,32,LAL,49,1655,16.7,.512,.048,.307,7.6,20.1,14.0,19.9,0.7,2.7,13.7,20.5,2.0,1.7,3.7,.107,1.1,0.9,2.0,1.7,2013
Paul George,SF,22,IND,79,2972,16.8,.531,.399,.233,3.4,19.0,11.3,19.6,2.6,1.3,15.2,23.5,2.7,6.3,9.0,.145,1.5,2.3,3.8,4.4,2013
Blake Griffin,PF,23,LAC,80,2598,22.4,.572,.026,.397,8.7,21.5,15.2,19.9,2.0,1.6,12.8,25.4,6.8,3.9,10.6,.196,3.2,0.8,4.1,4.0,2013
James Harden,SG,23,HOU,78,2985,22.9,.600,.364,.592,2.4,11.9,7.2,25.7,2.4,1.0,14.9,29.0,9.8,3.0,12.8,.206,5.2,0.5,5.6,5.8,2013
Roy Hibbert,C,26,IND,79,2269,17.3,.489,.005,.261,14.8,17.4,16.1,8.9,0.9,6.7,14.5,22.5,1.3,4.9,6.1,.129,-1.7,1.4,-0.3,0.9,2013
Jrue Holiday,PG,22,PHI,78,2926,16.7,.496,.192,.188,3.3,9.5,6.4,36.5,2.2,0.9,17.3,26.6,0.6,2.7,3.3,.055,1.2,-0.7,0.5,1.9,2013
Al Horford,C,26,ATL,74,2756,19.8,.560,.006,.196,8.2,23.0,15.7,15.3,1.5,2.2,11.3,21.8,4.7,4.1,8.8,.153,1.3,0.6,1.9,2.7,2013
Dwight Howard,C,27,LAL,76,2722,19.4,.573,.007,.887,10.4,27.4,19.1,6.6,1.6,4.9,16.6,22.2,2.8,4.8,7.6,.134,-0.6,1.1,0.6,1.8,2013
Andre Iguodala,SG,29,DEN,80,2779,15.2,.520,.327,.307,3.4,13.5,8.5,22.4,2.5,1.5,17.1,18.8,2.4,3.2,5.6,.097,1.2,1.4,2.6,3.3,2013
Kyrie Irving,PG,20,CLE,59,2048,21.4,.553,.261,.271,1.8,10.8,6.1,32.7,2.3,0.8,13.8,30.2,4.2,1.1,5.3,.125,4.3,-0.7,3.7,3.0,2013
LeBron James,PF,28,MIA,76,2877,31.6,.640,.188,.395,4.4,20.8,13.1,36.4,2.4,1.9,12.4,30.2,14.6,4.7,19.3,.322,9.3,2.4,11.7,9.9,2013
Joe Johnson,SG,31,BRK,72,2642,14.1,.521,.375,.153,2.4,7.4,4.9,16.7,1.0,0.4,9.9,21.7,3.9,1.2,5.1,.092,1.4,-1.4,0.0,1.3,2013
DeAndre Jordan,C,24,LAC,82,2010,17.2,.606,.000,.510,12.7,22.4,17.6,2.2,1.3,4.7,14.3,15.9,3.0,3.2,6.2,.148,-0.1,-0.2,-0.2,0.9,2013
