Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
Jimmy Butler,SG,24,CHI,67,67,38.7,4.1,10.3,.397,1.0,3.6,.283,3.1,6.8,.457,.446,3.9,5.0,.769,1.3,3.6,4.9,2.6,1.9,0.5,1.5,1.6,13.1,2014
Stephen Curry,PG,25,GSW,78,78,36.5,8.4,17.7,.471,3.3,7.9,.424,5.0,9.8,.509,.566,3.9,4.5,.885,0.6,3.7,4.3,8.5,1.6,0.2,3.8,2.5,24.0,2014
Anthony Davis,PF,20,NOP,67,66,35.2,7.8,15.0,.519,0.0,0.1,.222,7.8,14.9,.522,.520,5.2,6.6,.791,3.1,7.0,10.0,1.6,1.3,2.8,1.6,3.0,20.8,2014
DeMar DeRozan,SG,24,TOR,79,79,38.2,7.6,17.8,.429,0.8,2.7,.305,6.8,15.2,.451,.452,6.6,8.0,.824,0.6,3.7,4.3,4.0,1.1,0.4,2.2,2.5,22.7,2014
Goran Dragic,SG,27,PHO,76,75,35.1,7.3,14.4,.505,1.6,3.9,.408,5.7,10.4,.542,.561,4.2,5.5,.760,0.9,2.3,3.2,5.9,1.4,0.3,2.8,2.7,20.3,2014
Kevin Durant,SF,25,OKC,81,81,38.5,10.5,20.8,.503,2.4,6.1,.391,8.1,14.8,.549,.560,8.7,9.9,.873,0.7,6.7,7.4,5.5,1.3,0.7,3.5,2.1,32.0,2014
Marc Gasol,C,29,MEM,59,59,33.4,5.7,12.1,.473,0.0,0.2,.182,5.7,11.9,.477,.474,3.1,4.1,.768,1.4,5.8,7.2,3.6,1.0,1.3,1.9,2.5,14.6,2014
Pau Gasol,C,33,LAL,60,60,31.4,7.1,14.8,.480,0.1,0.2,.286,7.0,14.5,.483,.482,3.1,4.2,.736,2.1,7.6,9.7,3.4,0.5,1.5,2.4,2.1,17.4,2014
Paul George,SF,23,IND,80,80,36.2,7.2,17.0,.424,2.3,6.3,.364,4.9,10.8,.458,.490,5.0,5.8,.864,0.8,6.0,6.8,3.5,1.9,0.3,2.8,2.5,21.7,2014
Draymond Green,SF,23,GSW,82,12,21.9,2.3,5.6,.407,0.7,2.0,.333,1.6,3.6,.449,.467,1.0,1.5,.667,1.0,3.9,5.0,1.9,1.2,0.9,1.1,2.8,6.2,2014
Blake Griffin,PF,24,LAC,80,80,35.8,9.0,17.0,.528,0.2,0.6,.273,8.8,16.4,.537,.533,6.0,8.4,.715,2.4,7.1,9.5,3.9,1.2,0.6,2.8,3.3,24.1,2014
