Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
Jimmy Butler,SG,26,CHI,67,67,36.9,7.0,15.4,.454,1.0,3.1,.312,6.1,12.4,.489,.485,5.9,7.1,.832,1.2,4.2,5.3,4.8,1.6,0.6,2.0,1.9,20.9,2016
Stephen Curry,PG,27,GSW,79,79,34.2,10.2,20.2,.504,5.1,11.2,.454,5.1,9.0,.566,.630,4.6,5.1,.908,0.9,4.6,5.4,6.7,2.1,0.2,3.3,2.0,30.1,2016
Anthony Davis,C,22,NOP,61,61,35.5,9.2,18.6,.493,0.6,1.8,.324,8.6,16.9,.511,.508,5.3,7.0,.758,2.1,8.1,10.3,1.9,1.3,2.0,2.0,2.4,24.3,2016
DeMar DeRozan,SG,26,TOR,78,78,35.9,7.9,17.7,.446,0.6,1.8,.338,7.3,15.9,.458,.463,7.1,8.4,.850,0.8,3.7,4.5,4.0,1.0,0.3,2.2,2.1,23.5,2016
Goran Dragic,PG,29,MIA,72,72,32.8,5.8,12.2,.477,0.9,2.8,.312,4.9,9.3,.527,.513,1.7,2.3,.727,0.8,3.1,3.8,5.8,1.0,0.2,2.6,2.6,14.1,2016
Kevin Durant,SF,27,OKC,72,72,35.8,9.7,19.2,.505,2.6,6.7,.387,7.1,12.5,.569,.573,6.2,6.9,.898,0.6,7.6,8.2,5.0,1.0,1.2,3.5,1.9,28.2,2016
Marc Gasol,C,31,MEM,52,52,34.4,6.3,13.6,.464,0.0,0.1,.667,6.3,13.5,.463,.465,3.9,4.7,.829,1.1,5.8,7.0,3.8,1.0,1.3,2.3,2.7,16.6,2016
Pau Gasol,C,35,CHI,72,72,31.8,6.5,13.8,.469,0.3,1.0,.348,6.2,12.9,.478,.481,3.2,4.0,.792,2.2,8.9,11.0,4.1,0.6,2.0,2.3,2.1,16.5,2016
Paul George,SF,25,IND,81,81,34.8,7.5,17.9,.418,2.6,7.0,.371,4.9,10.9,.447,.490,5.6,6.5,.860,1.0,6.0,7.0,4.1,1.9,0.4,3.3,2.8,23.1,2016
Draymond Green,PF,25,GSW,81,81,34.7,5.0,10.1,.490,1.2,3.2,.388,3.7,6.9,.537,.551,2.8,4.1,.696,1.7,7.8,9.5,7.4,1.5,1.4,3.2,3.0,14.0,2016
Blake Griffin,PF,26,LAC,35,35,33.4,8.6,17.2,.499,0.2,0.5,.333,8.4,16.7,.504,.504,4.0,5.5,.727,1.5,6.9,8.4,4.9,0.8,0.5,2.4,2.7,21.4,2016
James Harden,SG,26,HOU,82,82,38.1,8.7,19.7,.439,2.9,8.0,.359,5.8,11.7,.494,.512,8.8,10.2,.860,0.8,5.3,6.1,7.5,1.7,0.6,4.6,2.8,29.0,2016
Roy Hibbert,C,29,LAL,81,81,23.2,2.2,5.1,.443,0.0,0.0,.000,2.2,5.0,.445,.443,1.4,1.8,.807,1.6,3.3,4.9,1.2,0.4,1.4,0.9,3.1,5.9,2016
Jrue Holiday,PG,25,NOP,65,23,28.2,6.3,14.4,.439,1.3,4.0,.336,5.0,10.4,.478,.485,2.8,3.3,.843,0.4,2.6,3.0,6.0,1.4,0.3,2.6,2.3,16.8,2016
Al Horford,C,29,ATL,82,82,32.1,6.5,12.8,.505,1.1,3.1,.344,5.4,9.7,.557,.547,1.3,1.6,.798,1.8,5.5,7.3,3.2,0.8,1.5,1.3,2.0,15.2,2016
Dwight Howard,C,30,HOU,71,71,32.1,5.2,8.5,.620,0.0,0.1,.000,5.2,8.4,.626,.620,3.3,6.7,.489,3.4,8.4,11.8,1.4,1.0,1.6,2.3,3.1,13.7,2016
Andre Iguodala,SF,32,GSW,65,1,26.6,2.7,5.7,.478,0.8,2.4,.351,1.9,3.3,.570,.552,0.8,1.3,.614,0.8,3.2,4.0,3.4,1.1,0.3,1.2,1.6,7.0,2016
Kyrie Irving,PG,23,CLE,53,53,31.5,7.4,16.6,.448,1.6,4.9,.321,5.8,11.6,.502,.496,3.2,3.6,.885,0.8,2.1,3.0,4.7,1.1,0.3,2.3,2.0,19.6,2016
LeBron James,SF,31,CLE,76,76,35.6,9.7,18.6,.520,1.1,3.7,.309,8.6,14.9,.573,.551,4.7,6.5,.731,1.5,6.0,7.4,6.8,1.4,0.6,3.3,1.9,25.3,2016
Joe Johnson,SF,34,TOT,81,81,33.4,4.7,10.6,.439,1.5,3.9,.383,3.2,6.7,.471,.509,1.5,1.8,.831,0.6,3.0,3.6,3.9,0.8,0.0,2.0,1.8,12.2,2016
Joe Johnson,SF,34,BRK,57,57,33.9,4.3,10.7,.406,1.5,4.0,.371,2.8,6.6,.427,.476,1.6,1.9,.852,0.6,3.3,3.9,4.1,0.7,0.0,2.0,1.8,11.8,2016
Joe Johnson,SF,34,MIA,24,24,32.0,5.4,10.5,.518,1.5,3.5,.417,4.0,7.0,.569,.588,1.1,1.4,.765,0.6,2.2,2.8,3.6,0.9,0.1,1.8,1.9,13.4,2016
Nikola Jokic,C,20,DEN,80,55,21.7,3.8,7.5,.512,0.4,1.1,.333,3.5,6.5,.541,.535,1.9,2.4,.811,2.3,4.7,7.0,2.4,1.0,0.6,1.3,2.6,10.0,2016
DeAndre Jordan,C,27,LAC,77,77,33.7,4.6,6.6,.703,0.0,0.0,.000,4.6,6.6,.704,.703,3.5,8.0,.430,3.5,10.3,13.8,1.2,0.7,2.3,1.4,2.7,12.7,2016
Kyle Korver,SG,34,ATL,80,80,30.0,3.4,7.7,.435,2.0,5.0,.398,1.4,2.7,.502,.563,0.6,0.7,.833,0.2,3.1,3.3,2.1,0.8,0.4,1.2,2.0,9.2,2016
David Lee,PF,32,TOT,55,5,16.4,3.2,6.1,.531,0.0,0.0,.000,3.2,6.1,.533,.531,1.3,1.7,.763,1.8,3.7,5.5,1.5,0.4,0.5,1.2,2.1,7.8,2016
David Lee,PF,32,BOS,30,4,15.7,2.9,6.4,.453,0.0,0.0,.000,2.9,6.4,.455,.453,1.3,1.7,.784,1.4,3.0,4.3,1.8,0.4,0.4,1.3,1.7,7.1,2016
David Lee,PF,32,DAL,25,1,17.3,3.6,5.7,.636,0.0,0.0,,3.6,5.7,.636,.636,1.2,1.7,.738,2.4,4.6,7.0,1.2,0.4,0.6,1.1,2.5,8.5,2016
Kawhi Leonard,SF,24,SAS,72,72,33.1,7.7,15.1,.506,1.8,4.0,.443,5.9,11.1,.528,.565,4.1,4.6,.874,1.3,5.5,6.8,2.6,1.8,1.0,1.5,1.8,21.2,2016
Damian Lillard,PG,25,POR,75,75,35.7,8.2,19.7,.419,3.1,8.1,.375,5.2,11.5,.450,.497,5.5,6.2,.892,0.6,3.4,4.0,6.8,0.9,0.4,3.2,2.2,25.1,2016
Kevin Love,PF,27,CLE,77,77,31.5,5.3,12.7,.419,2.1,5.7,.360,3.3,7.0,.467,.499,3.4,4.1,.822,1.9,8.0,9.9,2.4,0.8,0.5,1.8,2.1,16.0,2016
Kyle Lowry,PG,29,TOR,77,77,37.0,6.6,15.6,.427,2.8,7.1,.388,3.9,8.5,.461,.516,5.2,6.4,.811,0.7,4.0,4.7,6.4,2.1,0.4,2.9,2.7,21.2,2016
Khris Middleton,SG,24,MIL,79,79,36.1,6.4,14.5,.444,1.8,4.6,.396,4.6,9.9,.466,.507,3.5,3.9,.888,0.6,3.3,3.8,4.2,1.7,0.2,2.3,2.6,18.2,2016
Paul Millsap,PF,30,ATL,81,81,32.7,6.2,13.2,.470,0.9,2.9,.319,5.3,10.3,.512,.505,3.8,5.0,.757,2.4,6.6,9.0,3.3,1.8,1.7,2.4,2.9,17.1,2016
Victor Oladipo,SG,23,ORL,72,52,33.0,5.9,13.5,.438,1.4,3.9,.348,4.5,9.6,.475,.489,2.8,3.4,.830,0.7,4.1,4.8,3.9,1.6,0.8,2.1,2.4,16.0,2016
Tony Parker,PG,33,SAS,72,72,27.5,4.9,9.9,.493,0.4,0.9,.415,4.5,9.0,.501,.512,1.8,2.4,.760,0.2,2.2,2.4,5.3,0.8,0.2,1.8,1.6,11.9,2016
Chris Paul,PG,30,LAC,74,74,32.7,7.0,15.1,.462,1.6,4.4,.371,5.3,10.6,.501,.517,4.0,4.4,.896,0.5,3.7,4.2,10.0,2.1,0.2,2.6,2.5,19.5,2016
Zach Randolph,PF,34,MEM,68,53,29.6,6.3,13.3,.475,0.1,0.4,.231,6.3,13.0,.482,.479,2.5,3.2,.796,2.6,5.1,7.8,2.1,0.6,0.2,1.5,2.1,15.3,2016
Rajon Rondo,PG,29,SAC,72,72,35.2,4.9,10.9,.454,0.9,2.4,.365,4.1,8.5,.479,.494,1.2,2.1,.580,1.1,5.0,6.0,11.7,2.0,0.1,3.9,2.4,11.9,2016
Jeff Teague,PG,27,ATL,79,78,28.5,5.5,12.5,.439,1.4,3.5,.400,4.1,9.0,.454,.495,3.3,3.9,.837,0.4,2.3,2.7,5.9,1.2,0.3,2.8,2.1,15.7,2016
Klay Thompson,SG,25,GSW,80,80,33.3,8.1,17.3,.470,3.5,8.1,.425,4.7,9.2,.510,.569,2.4,2.8,.873,0.4,3.4,3.8,2.1,0.8,0.6,1.7,1.9,22.1,2016
Dwyane Wade,SG,34,MIA,74,73,30.5,7.3,16.0,.456,0.1,0.6,.159,7.2,15.4,.468,.459,4.4,5.5,.793,1.1,3.0,4.1,4.6,1.1,0.6,2.7,1.6,19.0,2016
Kemba Walker,PG,25,CHO,81,81,35.6,7.0,16.4,.427,2.2,6.0,.371,4.8,10.4,.459,.495,4.6,5.4,.847,0.7,3.7,4.4,5.2,1.6,0.5,2.1,1.4,20.9,2016
John Wall,PG,25,WAS,77,77,36.2,7.4,17.5,.424,1.5,4.3,.351,5.9,13.3,.448,.467,3.5,4.5,.791,0.5,4.4,4.9,10.2,1.9,0.8,4.1,2.1,19.9,2016
Russell Westbrook,PG,27,OKC,80,80,34.4,8.2,18.1,.454,1.3,4.3,.296,6.9,13.8,.503,.489,5.8,7.2,.812,1.8,6.0,7.8,10.4,2.0,0.3,4.3,2.5,23.5,2016
Deron Williams,PG,31,DAL,65,63,32.4,4.9,11.9,.414,1.5,4.3,.344,3.4,7.6,.454,.477,2.8,3.2,.869,0.3,2.6,2.9,5.8,0.9,0.2,2.3,2.4,14.1,2016
LaMarcus Aldridge,PF,31,SAS,72,72,32.4,6.9,14.6,.477,0.3,0.8,.411,6.6,13.8,.480,.488,3.1,3.8,.812,2.4,4.9,7.3,1.9,0.6,1.2,1.4,2.2,17.3,2017
Giannis Antetokounmpo,SF,22,MIL,80,80,35.6,8.2,15.7,.521,0.6,2.3,.272,7.6,13.5,.563,.541,5.9,7.7,.770,1.8,7.0,8.8,5.4,1.6,1.9,2.9,3.1,22.9,2017
Bradley Beal,SG,23,WAS,77,77,34.9,8.3,17.2,.482,2.9,7.2,.404,5.4,10.0,.538,.566,3.7,4.4,.825,0.7,2.4,3.1,3.5,1.1,0.3,2.0,2.2,23.1,2017
Jimmy Butler,SF,27,CHI,76,75,37.0,7.5,16.5,.455,1.2,3.3,.367,6.3,13.2,.477,.492,7.7,8.9,.865,1.7,4.5,6.2,5.5,1.9,0.4,2.1,1.5,23.9,2017
Stephen Curry,PG,28,GSW,79,79,33.4,8.5,18.3,.468,4.1,10.0,.411,4.4,8.3,.537,.580,4.1,4.6,.898,0.8,3.7,4.5,6.6,1.8,0.2,3.0,2.3,25.3,2017
Anthony Davis,C,23,NOP,75,75,36.1,10.3,20.3,.505,0.5,1.8,.299,9.7,18.6,.524,.518,6.9,8.6,.802,2.3,9.5,11.8,2.1,1.3,2.2,2.4,2.2,28.0,2017
DeMar DeRozan,SG,27,TOR,74,74,35.4,9.7,20.9,.467,0.4,1.7,.266,9.3,19.2,.484,.477,7.4,8.7,.842,0.9,4.3,5.2,3.9,1.1,0.2,2.4,1.8,27.3,2017
Goran Dragic,PG,30,MIA,73,73,33.7,7.3,15.4,.475,1.6,4.0,.405,5.7,11.4,.499,.527,4.1,5.2,.790,0.8,3.0,3.8,5.8,1.2,0.2,2.9,2.7,20.3,2017
Kevin Durant,PF,28,GSW,62,62,33.4,8.9,16.5,.537,1.9,5.0,.375,7.0,11.5,.608,.594,5.4,6.2,.875,0.6,7.6,8.3,4.8,1.1,1.6,2.2,1.9,25.1,2017
Joel Embiid,C,22,PHI,31,31,25.4,6.5,13.8,.466,1.2,3.2,.367,5.3,10.7,.495,.508,6.2,7.9,.783,2.0,5.9,7.8,2.1,0.9,2.5,3.8,3.6,20.2,2017
Marc Gasol,C,32,MEM,74,74,34.2,7.2,15.7,.459,1.4,3.6,.388,5.8,12.1,.480,.503,3.8,4.5,.837,0.8,5.5,6.3,4.6,0.9,1.3,2.2,2.3,19.5,2017
Pau Gasol,C,36,SAS,64,39,25.4,4.7,9.4,.502,0.9,1.6,.538,3.9,7.8,.494,.548,2.0,2.9,.707,1.7,6.2,7.8,2.3,0.4,1.1,1.3,1.7,12.4,2017
Paul George,SF,26,IND,75,75,35.9,8.3,18.0,.461,2.6,6.6,.393,5.7,11.4,.501,.534,4.5,5.0,.898,0.8,5.8,6.6,3.3,1.6,0.4,2.9,2.7,23.7,2017
Draymond Green,PF,26,GSW,76,76,32.5,3.6,8.6,.418,1.1,3.5,.308,2.5,5.1,.494,.481,2.0,2.8,.709,1.3,6.6,7.9,7.0,2.0,1.4,2.4,2.9,10.2,2017
Blake Griffin,PF,27,LAC,61,61,34.0,7.9,15.9,.493,0.6,1.9,.336,7.2,14.1,.514,.513,5.2,6.9,.760,1.8,6.3,8.1,4.9,0.9,0.4,2.3,2.6,21.6,2017
James Harden,PG,27,HOU,81,81,36.4,8.3,18.9,.440,3.2,9.3,.347,5.1,9.6,.530,.525,9.2,10.9,.847,1.2,7.0,8.1,11.2,1.5,0.5,5.7,2.7,29.1,2017
Roy Hibbert,C,30,TOT,48,13,14.2,1.7,3.1,.544,0.0,0.0,,1.7,3.1,.544,.544,1.3,1.6,.813,1.1,2.0,3.2,0.4,0.2,1.0,0.7,2.1,4.6,2017
Roy Hibbert,C,30,CHO,42,13,16.0,1.9,3.4,.542,0.0,0.0,,1.9,3.4,.542,.542,1.5,1.8,.813,1.3,2.3,3.6,0.5,0.2,1.0,0.7,2.3,5.2,2017
Roy Hibbert,C,30,DEN,6,0,1.8,0.3,0.5,.667,0.0,0.0,,0.3,0.5,.667,.667,0.0,0.0,,0.2,0.2,0.3,0.2,0.0,0.3,0.2,0.5,0.7,2017
Jrue Holiday,PG,26,NOP,67,61,32.7,6.0,13.3,.454,1.5,4.2,.356,4.6,9.1,.498,.510,1.8,2.5,.708,0.7,3.3,3.9,7.3,1.5,0.7,2.9,2.0,15.4,2017
Al Horford,C,30,BOS,68,68,32.3,5.6,11.8,.473,1.3,3.6,.355,4.3,8.2,.524,.527,1.6,2.0,.800,1.4,5.4,6.8,5.0,0.8,1.3,1.7,2.0,14.0,2017
Dwight Howard,C,31,ATL,74,74,29.7,5.2,8.3,.633,0.0,0.0,.000,5.2,8.3,.635,.633,3.1,5.7,.533,4.0,8.7,12.7,1.4,0.9,1.2,2.3,2.7,13.5,2017
Andre Iguodala,SF,33,GSW,76,0,26.3,2.9,5.5,.528,0.8,2.3,.362,2.0,3.1,.651,.605,0.9,1.3,.706,0.7,3.3,4.0,3.4,1.0,0.5,0.8,1.3,7.6,2017
Kyrie Irving,PG,24,CLE,72,72,35.1,9.3,19.7,.473,2.5,6.1,.401,6.9,13.6,.505,.535,4.1,4.6,.905,0.7,2.5,3.2,5.8,1.2,0.3,2.5,2.2,25.2,2017
LeBron James,SF,32,CLE,74,74,37.8,9.9,18.2,.548,1.7,4.6,.363,8.3,13.5,.611,.594,4.8,7.2,.674,1.3,7.3,8.6,8.7,1.2,0.6,4.1,1.8,26.4,2017
Joe Johnson,SF,35,UTA,78,14,23.6,3.5,8.0,.436,1.4,3.3,.411,2.1,4.7,.454,.521,0.8,1.0,.818,0.4,2.7,3.1,1.8,0.5,0.2,0.9,1.2,9.2,2017
Nikola Jokic,C,21,DEN,73,59,27.9,6.8,11.7,.578,0.6,1.9,.324,6.2,9.8,.628,.605,2.6,3.1,.825,2.9,6.9,9.8,4.9,0.8,0.8,2.3,2.9,16.7,2017
DeAndre Jordan,C,28,LAC,81,81,31.7,5.1,7.1,.714,0.0,0.0,.000,5.1,7.1,.717,.714,2.5,5.2,.482,3.7,10.1,13.8,1.2,0.6,1.7,1.4,2.6,12.7,2017
Kyle Korver,SG,35,TOT,67,22,26.2,3.6,7.7,.464,2.4,5.4,.451,1.1,2.3,.494,.621,0.6,0.6,.905,0.1,2.7,2.8,1.6,0.5,0.3,1.0,1.6,10.1,2017
Kyle Korver,SG,35,ATL,32,21,27.9,3.4,7.7,.439,2.0,5.0,.409,1.3,2.7,.494,.571,0.8,0.8,.889,0.0,2.8,2.8,2.3,0.7,0.4,1.3,1.5,9.5,2017
Kyle Korver,SG,35,CLE,35,1,24.5,3.7,7.7,.487,2.8,5.7,.485,1.0,2.0,.493,.667,0.4,0.4,.933,0.2,2.6,2.8,1.0,0.3,0.2,0.8,1.7,10.7,2017
David Lee,PF,33,SAS,79,10,18.7,3.1,5.3,.590,0.0,0.0,,3.1,5.3,.590,.590,1.0,1.4,.708,1.9,3.7,5.6,1.6,0.4,0.5,1.0,1.6,7.3,2017
Kawhi Leonard,SF,25,SAS,74,74,33.4,8.6,17.7,.485,2.0,5.2,.380,6.6,12.5,.529,.541,6.3,7.2,.880,1.1,4.7,5.8,3.5,1.8,0.7,2.1,1.6,25.5,2017
Damian Lillard,PG,26,POR,75,75,35.9,8.8,19.8,.444,2.9,7.7,.370,6.0,12.1,.492,.516,6.5,7.3,.895,0.6,4.3,4.9,5.9,0.9,0.3,2.6,2.0,27.0,2017
Kevin Love,PF,28,CLE,60,60,31.4,6.2,14.5,.427,2.4,6.5,.373,3.8,8.0,.471,.510,4.3,4.9,.871,2.5,8.6,11.1,1.9,0.9,0.4,2.0,2.1,19.0,2017
Kyle Lowry,PG,30,TOR,60,60,37.4,7.1,15.3,.464,3.2,7.8,.412,3.9,7.5,.518,.569,5.0,6.1,.819,0.8,4.0,4.8,7.0,1.5,0.3,2.9,2.8,22.4,2017
Khris Middleton,SF,25,MIL,29,23,30.7,5.2,11.5,.450,1.6,3.6,.433,3.6,7.9,.459,.518,2.8,3.2,.880,0.4,3.9,4.2,3.4,1.4,0.2,2.2,2.7,14.7,2017
Paul Millsap,PF,31,ATL,69,67,34.0,6.2,14.1,.442,1.1,3.5,.311,5.1,10.6,.486,.481,4.5,5.9,.768,1.6,6.1,7.7,3.7,1.3,0.9,2.3,2.7,18.1,2017
Victor Oladipo,SG,24,OKC,67,67,33.2,6.1,13.9,.442,1.9,5.3,.361,4.3,8.7,.491,.510,1.7,2.3,.753,0.6,3.8,4.3,2.6,1.2,0.3,1.8,2.3,15.9,2017
Tony Parker,PG,34,SAS,63,63,25.2,4.2,9.0,.466,0.4,1.1,.333,3.8,7.9,.484,.486,1.3,1.9,.726,0.1,1.7,1.8,4.5,0.5,0.0,1.4,1.5,10.1,2017
Chris Paul,PG,31,LAC,61,61,31.5,6.1,12.9,.476,2.0,5.0,.411,4.1,7.9,.518,.555,3.8,4.3,.892,0.7,4.3,5.0,9.2,2.0,0.1,2.4,2.4,18.1,2017
Zach Randolph,PF,35,MEM,73,5,24.5,5.9,13.2,.449,0.3,1.3,.223,5.6,11.9,.474,.460,1.9,2.6,.731,2.5,5.7,8.2,1.7,0.5,0.1,1.4,1.9,14.1,2017
Rajon Rondo,PG,30,CHI,69,42,26.7,3.3,8.1,.408,0.7,1.9,.376,2.6,6.2,.418,.453,0.4,0.7,.600,1.1,4.1,5.1,6.7,1.4,0.2,2.4,2.1,7.8,2017
Jeff Teague,PG,28,IND,82,82,32.4,4.9,11.1,.442,1.1,3.1,.357,3.8,8.0,.475,.492,4.4,5.1,.867,0.4,3.6,4.0,7.8,1.2,0.4,2.6,2.0,15.3,2017
Klay Thompson,SG,26,GSW,78,78,34.0,8.3,17.6,.468,3.4,8.3,.414,4.8,9.3,.516,.565,2.4,2.8,.853,0.6,3.0,3.7,2.1,0.8,0.5,1.6,1.8,22.3,2017
Dwyane Wade,SG,35,CHI,60,59,29.9,6.9,15.9,.434,0.8,2.4,.310,6.2,13.5,.456,.457,3.7,4.7,.794,1.1,3.5,4.5,3.8,1.4,0.7,2.3,1.9,18.3,2017
Kemba Walker,PG,26,CHO,79,79,34.7,8.1,18.3,.444,3.0,7.6,.399,5.1,10.7,.476,.527,3.8,4.5,.847,0.6,3.3,3.9,5.5,1.1,0.3,2.1,1.5,23.2,2017
John Wall,PG,26,WAS,78,78,36.4,8.3,18.4,.451,1.1,3.5,.327,7.2,14.9,.480,.482,5.4,6.8,.801,0.8,3.4,4.2,10.7,2.0,0.6,4.1,1.9,23.1,2017
Russell Westbrook,PG,28,OKC,81,81,34.6,10.2,24.0,.425,2.5,7.2,.343,7.7,16.8,.459,.476,8.8,10.4,.845,1.7,9.0,10.7,10.4,1.6,0.4,5.4,2.3,31.6,2017
Deron Williams,PG,32,TOT,64,44,25.9,4.1,9.4,.438,1.3,3.7,.363,2.8,5.7,.486,.509,1.4,1.7,.826,0.2,2.1,2.3,5.6,0.5,0.1,2.2,2.2,11.0,2017
Deron Williams,PG,32,DAL,40,40,29.3,4.9,11.3,.430,1.6,4.5,.348,3.3,6.8,.485,.500,1.7,2.1,.821,0.3,2.2,2.6,6.9,0.6,0.1,2.5,2.4,13.1,2017
Deron Williams,PG,32,CLE,24,4,20.3,2.8,6.1,.463,0.9,2.2,.415,1.9,3.9,.489,.537,0.9,1.0,.840,0.0,1.8,1.9,3.6,0.3,0.3,1.7,1.8,7.5,2017
LaMarcus Aldridge,C,32,SAS,75,75,33.5,9.2,18.0,.510,0.4,1.2,.293,8.8,16.7,.526,.520,4.5,5.3,.837,3.3,5.2,8.5,2.0,0.6,1.2,1.5,2.1,23.1,2018
Giannis Antetokounmpo,PF,23,MIL,75,75,36.7,9.9,18.7,.529,0.6,1.9,.307,9.3,16.8,.554,.545,6.5,8.5,.760,2.1,8.0,10.0,4.8,1.5,1.4,3.0,3.1,26.9,2018
Bradley Beal,SG,24,WAS,82,82,36.3,8.3,18.1,.460,2.4,6.5,.375,5.9,11.6,.507,.527,3.6,4.5,.791,0.7,3.7,4.4,4.5,1.2,0.4,2.6,2.0,22.6,2018
Jimmy Butler,SG,28,MIN,59,59,36.7,7.4,15.6,.474,1.2,3.4,.350,6.2,12.2,.509,.512,6.2,7.2,.854,1.3,4.0,5.3,4.9,2.0,0.4,1.8,1.3,22.2,2018
Stephen Curry,PG,29,GSW,51,51,32.0,8.4,16.9,.495,4.2,9.8,.423,4.2,7.1,.595,.618,5.5,5.9,.921,0.7,4.4,5.1,6.1,1.6,0.2,3.0,2.2,26.4,2018
Anthony Davis,PF,24,NOP,75,75,36.4,10.4,19.5,.534,0.7,2.2,.340,9.7,17.3,.558,.552,6.6,8.0,.828,2.5,8.6,11.1,2.3,1.5,2.6,2.2,2.1,28.1,2018
DeMar DeRozan,SG,28,TOR,80,80,33.9,8.1,17.7,.456,1.1,3.6,.310,7.0,14.1,.494,.488,5.8,7.0,.825,0.7,3.2,3.9,5.2,1.1,0.3,2.2,1.9,23.0,2018
Goran Dragic,PG,31,MIA,75,75,31.7,6.5,14.3,.450,1.5,4.0,.370,5.0,10.3,.481,.502,2.9,3.6,.801,0.7,3.4,4.1,4.8,0.8,0.2,2.2,2.4,17.3,2018
Kevin Durant,SF,29,GSW,68,68,34.2,9.3,18.0,.516,2.5,6.1,.419,6.7,11.9,.565,.586,5.3,5.9,.889,0.5,6.4,6.8,5.4,0.7,1.8,3.0,2.0,26.4,2018
Joel Embiid,C,23,PHI,63,63,30.3,8.1,16.8,.483,1.0,3.4,.308,7.0,13.4,.527,.514,5.7,7.4,.769,2.3,8.7,11.0,3.2,0.6,1.8,3.7,3.3,22.9,2018
Marc Gasol,C,33,MEM,73,73,33.0,5.9,14.2,.420,1.5,4.4,.341,4.5,9.8,.456,.473,3.8,4.6,.834,1.1,7.0,8.1,4.2,0.7,1.4,2.7,2.5,17.2,2018
Pau Gasol,C,37,SAS,77,63,23.5,3.7,8.1,.458,0.6,1.6,.358,3.2,6.6,.481,.492,2.1,2.7,.756,1.7,6.4,8.0,3.1,0.3,1.0,1.4,1.6,10.1,2018
Paul George,SF,27,OKC,79,79,36.6,7.3,17.0,.430,3.1,7.7,.401,4.2,9.3,.454,.521,4.3,5.2,.822,0.9,4.7,5.7,3.3,2.0,0.5,2.7,2.9,21.9,2018
Draymond Green,PF,27,GSW,70,70,32.7,4.0,8.8,.454,1.1,3.7,.301,2.9,5.2,.562,.516,1.9,2.5,.775,1.1,6.6,7.6,7.3,1.4,1.3,2.9,2.6,11.0,2018
Blake Griffin,PF,28,TOT,58,58,34.0,7.5,17.2,.438,1.9,5.6,.345,5.6,11.6,.482,.493,4.5,5.7,.785,1.3,6.1,7.4,5.8,0.7,0.3,2.8,2.4,21.4,2018
Blake Griffin,PF,28,LAC,33,33,34.5,7.7,17.5,.441,1.9,5.7,.342,5.8,11.8,.488,.497,5.2,6.6,.785,1.4,6.5,7.9,5.4,0.9,0.3,3.0,2.4,22.6,2018
Blake Griffin,PF,28,DET,25,25,33.2,7.2,16.7,.433,1.9,5.4,.348,5.4,11.3,.473,.489,3.5,4.4,.784,1.1,5.6,6.6,6.2,0.4,0.4,2.6,2.4,19.8,2018
James Harden,SG,28,HOU,72,72,35.4,9.0,20.1,.449,3.7,10.0,.367,5.4,10.1,.531,.541,8.7,10.1,.858,0.6,4.8,5.4,8.8,1.8,0.7,4.4,2.3,30.4,2018
Jrue Holiday,SG,27,NOP,81,81,36.1,7.6,15.4,.494,1.5,4.4,.337,6.1,11.0,.557,.543,2.3,2.9,.786,0.8,3.7,4.5,6.0,1.5,0.8,2.6,2.5,19.0,2018
Al Horford,C,31,BOS,72,72,31.6,5.1,10.5,.489,1.3,3.1,.429,3.8,7.3,.514,.553,1.3,1.7,.783,1.4,5.9,7.4,4.7,0.6,1.1,1.8,1.9,12.9,2018
Dwight Howard,C,32,CHO,81,81,30.4,6.2,11.2,.555,0.0,0.1,.143,6.2,11.2,.559,.556,4.1,7.2,.574,3.1,9.3,12.5,1.3,0.6,1.6,2.6,3.1,16.6,2018
Andre Iguodala,SF,34,GSW,64,7,25.3,2.3,5.0,.463,0.5,1.8,.282,1.8,3.2,.567,.514,0.9,1.4,.632,0.8,3.1,3.8,3.3,0.8,0.6,1.0,1.5,6.0,2018
Kyrie Irving,PG,25,BOS,60,60,32.2,8.9,18.1,.491,2.8,6.8,.408,6.1,11.3,.541,.568,3.9,4.4,.889,0.6,3.2,3.8,5.1,1.1,0.3,2.3,2.0,24.4,2018
LeBron James,PF,33,CLE,82,82,36.9,10.5,19.3,.542,1.8,5.0,.367,8.6,14.3,.603,.590,4.7,6.5,.731,1.2,7.5,8.6,9.1,1.4,0.9,4.2,1.7,27.5,2018
Joe Johnson,SF,36,TOT,55,4,21.9,2.7,6.5,.406,0.7,2.6,.276,1.9,3.9,.493,.461,0.7,0.8,.889,0.3,2.9,3.1,1.5,0.3,0.1,0.9,1.2,6.8,2018
Joe Johnson,SF,36,UTA,32,3,21.9,3.0,7.1,.420,0.7,2.6,.274,2.3,4.4,.507,.471,0.6,0.8,.833,0.4,3.0,3.3,1.4,0.4,0.2,1.0,1.0,7.3,2018
Joe Johnson,SF,36,HOU,23,1,22.0,2.2,5.8,.381,0.7,2.7,.279,1.5,3.2,.466,.444,0.9,0.9,.952,0.1,2.7,2.8,1.7,0.3,0.0,0.8,1.5,6.0,2018
