Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
Stephen Curry,PG,33,GSW,22,18,34.7,9.2,20.0,.459,4.1,10.4,.397,5.0,9.6,.526,.563,4.9,5.9,.829,0.5,4.7,5.2,5.9,1.3,0.4,2.6,2.7,27.4,2022
DeMar DeRozan,PF,32,CHI,5,5,40.6,7.8,19.0,.411,0.0,1.8,.000,7.8,17.2,.453,.411,5.2,6.0,.867,0.2,5.2,5.4,4.8,1.8,0.4,2.2,2.4,20.8,2022
Goran Dragic,PG,35,BRK,4,0,19.8,4.5,8.0,.563,1.0,3.0,.333,3.5,5.0,.700,.625,0.5,0.5,1.000,1.5,3.0,4.5,1.5,0.8,0.0,1.3,2.8,10.5,2022
Kevin Durant,PF,33,BRK,4,4,44.0,8.0,20.8,.386,1.8,5.3,.333,6.3,15.5,.403,.428,8.5,9.5,.895,0.5,5.3,5.8,6.3,1.0,0.3,5.3,3.8,26.3,2022
Joel Embiid,C,27,PHI,10,10,38.5,7.8,16.1,.484,0.7,3.3,.212,7.1,12.8,.555,.506,7.3,8.9,.820,2.1,8.6,10.7,2.1,0.4,0.8,3.2,3.4,23.6,2022
Draymond Green,PF,31,GSW,22,22,32.0,3.1,6.5,.479,0.4,1.8,.205,2.8,4.8,.581,.507,1.4,2.1,.638,1.2,6.0,7.2,6.3,1.1,1.0,2.7,4.0,8.0,2022
Blake Griffin,C,32,BRK,2,0,12.5,1.0,3.5,.286,1.0,2.5,.400,0.0,1.0,.000,.429,1.0,1.0,1.000,1.0,1.0,2.0,2.0,0.5,0.5,0.5,1.5,4.0,2022
James Harden,PG,32,PHI,12,12,39.9,5.3,13.2,.405,2.3,6.3,.368,3.0,6.8,.439,.494,5.6,6.3,.893,0.9,4.8,5.7,8.6,0.8,0.7,4.2,2.4,18.6,2022
Jrue Holiday,PG,31,MIL,12,12,38.6,7.4,19.6,.379,2.1,6.6,.316,5.3,13.0,.410,.432,2.2,2.6,.839,1.0,4.6,5.6,6.5,1.8,0.6,2.8,2.3,19.1,2022
Al Horford,C,35,BOS,23,23,35.4,4.4,8.4,.523,2.0,4.3,.480,2.3,4.1,.568,.645,1.2,1.6,.778,1.5,7.8,9.3,3.3,0.8,1.3,1.3,2.8,12.0,2022
Andre Iguodala,SF,38,GSW,7,0,8.7,0.6,1.3,.444,0.1,0.4,.333,0.4,0.9,.500,.500,0.3,0.4,.667,0.4,0.6,1.0,1.7,0.0,0.3,0.6,1.6,1.6,2022
