Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Year
Andre Iguodala,SG,29,DEN,6,243,19.9,.621,.382,.329,4.0,20.9,11.6,21.3,2.4,0.7,16.3,18.3,0.6,0.1,0.7,.140,4.3,2.3,6.6,0.5,2013
LeBron James,PF,28,MIA,23,960,28.1,.585,.222,.405,4.8,19.7,12.4,30.5,2.3,1.6,12.1,29.2,3.7,1.5,5.2,.260,8.4,2.0,10.4,3.0,2013
Joe Johnson,SG,31,BRK,7,271,11.7,.486,.379,.087,1.7,8.1,4.9,12.1,1.6,0.0,10.1,20.7,0.1,0.2,0.2,.042,-0.7,-1.1,-1.8,0.0,2013
Kyle Korver,SF,31,ATL,6,177,10.1,.562,.694,.245,0.0,12.7,6.2,3.9,0.6,1.9,10.0,16.2,0.1,0.1,0.2,.065,-0.1,-0.5,-0.6,0.1,2013
Kawhi Leonard,SF,21,SAS,21,775,18.9,.611,.280,.232,7.7,20.1,14.1,4.6,2.6,1.1,9.0,15.6,1.7,1.4,3.1,.194,2.5,2.5,5.1,1.4,2013
Tony Parker,PG,30,SAS,21,765,21.5,.521,.085,.307,2.2,7.8,5.1,34.6,1.7,0.3,11.3,28.9,1.7,0.8,2.4,.152,3.8,0.0,3.8,1.1,2013
Chris Paul,PG,27,LAC,6,224,29.2,.633,.207,.402,1.8,11.6,6.9,33.0,2.7,0.0,7.7,25.4,1.2,0.0,1.2,.267,8.3,1.4,9.7,0.7,2013
Zach Randolph,PF,31,MEM,15,554,17.7,.509,.005,.437,12.1,20.8,16.2,8.4,1.0,1.1,10.8,24.2,0.7,0.6,1.3,.111,0.7,-0.3,0.4,0.3,2013
Jeff Teague,PG,24,ATL,6,213,10.9,.429,.123,.346,1.5,7.4,4.4,25.4,2.2,0.8,13.0,23.9,-0.2,0.2,0.0,-0.011,-1.6,-0.9,-2.6,0.0,2013
Klay Thompson,SG,22,GSW,12,495,10.1,.515,.339,.034,2.1,9.9,6.2,7.0,1.2,1.1,12.0,18.1,0.1,0.3,0.4,.042,-1.3,0.1,-1.2,0.1,2013
Dwyane Wade,SG,31,MIA,22,782,18.7,.498,.013,.254,6.1,9.9,8.1,24.2,2.7,2.5,14.2,25.3,0.7,1.0,1.8,.108,2.6,0.5,3.1,1.0,2013
Deron Williams,PG,28,BRK,7,292,20.6,.572,.406,.425,0.4,8.8,4.5,34.6,1.3,1.0,14.3,23.7,0.8,0.2,1.0,.169,4.9,-0.6,4.4,0.5,2013
LaMarcus Aldridge,PF,28,POR,11,441,21.0,.509,.012,.300,7.5,21.2,14.4,7.0,0.8,3.0,6.3,30.1,0.6,0.3,0.9,.097,2.7,-0.7,2.1,0.4,2014
Bradley Beal,SG,20,WAS,11,458,17.0,.531,.299,.277,3.8,10.2,7.0,19.9,2.1,1.2,10.4,22.9,0.6,0.8,1.4,.152,3.3,1.4,4.7,0.8,2014
Jimmy Butler,SG,24,CHI,5,218,11.4,.507,.351,.404,3.1,11.0,6.9,8.8,1.5,0.0,4.3,15.5,0.2,0.2,0.4,.096,-0.9,1.2,0.3,0.1,2014
Stephen Curry,PG,25,GSW,7,296,18.8,.599,.491,.362,1.5,8.3,4.8,31.9,2.0,0.3,16.2,23.1,0.8,0.0,0.8,.131,4.3,0.2,4.4,0.5,2014
DeMar DeRozan,SG,24,TOR,7,282,18.2,.550,.154,.675,1.3,10.8,6.3,17.0,1.5,0.6,10.6,28.3,0.6,0.2,0.8,.136,2.3,-0.2,2.1,0.3,2014
Kevin Durant,SF,25,OKC,19,815,22.6,.570,.296,.386,3.7,19.1,11.8,18.3,1.2,2.3,12.7,31.6,1.5,0.9,2.5,.145,6.1,0.4,6.4,1.7,2014
Marc Gasol,C,29,MEM,7,299,14.7,.462,.009,.293,4.6,16.1,10.1,18.4,2.2,1.7,8.4,22.0,0.0,0.4,0.4,.065,0.4,1.9,2.4,0.3,2014
Paul George,SF,23,IND,19,781,20.5,.578,.410,.406,2.1,20.0,11.2,17.8,2.9,0.8,11.7,26.3,1.3,1.5,2.7,.169,3.3,2.5,5.9,1.6,2014
Draymond Green,SF,23,GSW,7,228,16.2,.588,.483,.400,8.9,20.5,14.6,13.0,2.6,4.5,19.4,16.4,0.3,0.2,0.5,.109,0.9,4.2,5.0,0.4,2014
Blake Griffin,PF,24,LAC,13,478,21.7,.554,.030,.410,8.1,15.2,11.5,18.2,1.7,2.5,10.1,27.9,1.1,0.3,1.4,.143,3.9,0.5,4.4,0.8,2014
James Harden,SG,24,HOU,6,263,18.3,.519,.406,.376,2.0,9.9,5.9,21.5,2.4,0.3,11.9,28.5,0.5,0.1,0.6,.111,4.0,0.2,4.2,0.4,2014
Roy Hibbert,C,27,IND,19,542,12.1,.511,.007,.388,10.0,13.3,11.7,5.4,0.4,4.4,12.7,17.7,0.2,0.7,0.9,.084,-2.6,0.3,-2.2,0.0,2014
Dwight Howard,C,28,HOU,6,231,27.2,.581,.000,.604,12.5,26.9,19.5,8.5,0.9,6.0,12.4,28.2,0.7,0.2,0.9,.185,4.3,1.5,5.7,0.4,2014
Andre Iguodala,SF,30,GSW,7,248,12.6,.601,.242,.532,2.3,13.2,7.6,18.7,1.8,0.7,21.5,16.7,0.2,0.1,0.3,.049,0.0,1.5,1.5,0.2,2014
LeBron James,PF,29,MIA,20,763,31.0,.668,.253,.471,2.5,21.4,12.3,25.6,2.6,1.4,12.9,31.6,3.4,0.9,4.3,.269,8.5,1.8,10.3,2.4,2014
Joe Johnson,SG,32,BRK,12,469,20.3,.626,.288,.234,2.3,10.5,6.2,14.5,0.7,0.6,8.6,23.1,1.4,0.1,1.5,.153,4.4,-0.5,3.8,0.7,2014
DeAndre Jordan,C,25,LAC,13,442,16.5,.648,.000,1.206,10.7,32.3,21.1,3.2,1.4,6.3,19.3,11.7,0.5,0.7,1.2,.130,0.6,1.8,2.4,0.5,2014
Kyle Korver,SG,32,ATL,7,250,12.1,.659,.818,.182,0.9,17.0,8.4,3.9,0.8,0.7,13.4,15.3,0.3,0.4,0.6,.122,1.5,-0.1,1.4,0.2,2014
David Lee,PF,30,GSW,7,217,15.6,.568,.000,.247,12.4,21.6,16.9,13.6,0.9,0.0,16.6,20.1,0.3,0.1,0.4,.081,0.3,-0.1,0.2,0.1,2014
Kawhi Leonard,SF,22,SAS,23,736,18.7,.606,.310,.301,5.1,19.2,12.3,7.8,2.7,1.5,9.7,18.9,1.5,1.5,2.9,.191,1.9,2.8,4.7,1.3,2014
Damian Lillard,PG,23,POR,11,466,19.3,.578,.370,.349,2.8,10.1,6.5,25.8,1.2,0.2,12.1,23.4,1.2,0.1,1.3,.130,5.2,-0.3,4.9,0.8,2014
Kyle Lowry,PG,27,TOR,7,271,17.4,.567,.394,.450,4.2,10.4,7.4,23.5,1.2,0.0,13.3,26.1,0.6,0.2,0.7,.130,3.4,-1.3,2.1,0.3,2014
Paul Millsap,PF,28,ATL,7,267,19.9,.533,.262,.544,8.4,25.0,16.2,15.7,2.0,4.2,13.5,25.7,0.2,0.6,0.9,.154,3.0,2.0,5.0,0.5,2014
